year,reach,Nsamples,EF,catch_all,catch_100,catch_200,catch_300
2007, RM 65.7-76.3,30,17343.00,137.00,107.00,66.00,32.00
2008, RM < 0,34,67549.00,4014.00,2348.00,708.00,624.00
2008, RM  0-10,NA,NA,.00,.00,.00,.00
2008, RM 10-20,35,10925.00,497.00,495.00,217.00,151.00
2008, RM 20-30,NA,NA,.00,.00,.00,.00
2008, RM 30-40,35,10962.00,327.00,325.00,194.00,159.00
2008, RM 40-50,NA,NA,.00,.00,.00,.00
2008, RM 50-61.5,36,11373.00,183.00,180.00,69.00,35.00
2008, RM 61.5-65.7,16,5324.00,61.00,56.00,39.00,13.00
2008, RM 65.7-76.3,29,8995.00,66.00,54.00,37.00,12.00
2009, RM < 0,35,58369.00,3707.00,2528.00,1043.00,543.00
2009, RM  0-10,1,559.00,38.00,32.00,10.00,2.00
2009, RM 10-20,17,7601.00,853.00,849.00,353.00,52.00
2009, RM 20-30,24,7689.00,808.00,807.00,467.00,86.00
2009, RM 30-40,24,7431.00,512.00,507.00,239.00,34.00
2009, RM 40-50,26,8278.00,332.00,332.00,165.00,31.00
2009, RM 50-61.5,92,29610.00,619.00,596.00,413.00,111.00
2009, RM 61.5-65.7,1,324.00,3.00,1.00,.00,.00
2009, RM 65.7-76.3,55,17270.00,169.00,114.00,97.00,25.00
2010, RM < 0,32,62295.00,2493.00,1564.00,635.00,436.00
2010, RM  0-10,NA,NA,.00,.00,.00,.00
2010, RM 10-20,24,7768.00,889.00,889.00,826.00,362.00
2010, RM 20-30,18,10147.00,438.00,438.00,409.00,121.00
2010, RM 30-40,16,5162.00,316.00,316.00,311.00,104.00
2010, RM 40-50,12,3723.00,155.00,155.00,128.00,36.00
2010, RM 50-61.5,49,26769.00,613.00,613.00,469.00,169.00
2010, RM 61.5-65.7,22,7430.00,114.00,79.00,59.00,35.00
2010, RM 65.7-76.3,42,13582.00,169.00,130.00,101.00,45.00
2011, RM < 0,36,46268.00,2269.00,1471.00,679.00,494.00
2011, RM  0-10,30,9778.00,664.00,661.00,555.00,358.00
2011, RM 10-20,NA,NA,.00,.00,.00,.00
2011, RM 20-30,NA,NA,.00,.00,.00,.00
2011, RM 30-40,30,9557.00,781.00,775.00,659.00,469.00
2011, RM 40-50,NA,NA,.00,.00,.00,.00
2011, RM 50-61.5,45,15298.00,852.00,851.00,750.00,469.00
2011, RM 61.5-65.7,43,15169.00,252.00,208.00,186.00,128.00
2011, RM 65.7-76.3,29,8965.00,135.00,105.00,93.00,61.00
